flags, %_of_average, viable_in_how_many_functions, functions
[-O1], 93.62%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-O2], 91.08%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-O3], 91.19%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-Os], 102.63%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-Ofast], 91.19%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-reg-struct-return; -fsignaling-nans; -fno-tree-loop-distribute-patterns; -fno-if-conversion2; -fpartial-inlining; -ftree-scev-cprop; -fomit-frame-pointer; -fipa-icf; -ftree-dominator-opts; -ftree-pre; -fno-omit-frame-pointer; -ftree-sink; -ftracer; -ftree-reassoc; -fsched-spec-insn-heuristic; -ftree-builtin-call-dce], 91.63%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-sched-interblock; -fno-reciprocal-math; -fno-sched-rank-heuristic; -fmath-errno; -fno-dce; -fno-vpt; -fno-loop-interchange; -fschedule-fusion; -finline-small-functions; -fomit-frame-pointer; -fno-hoist-adjacent-loads; -fno-gcse; -fno-tree-partial-pre; -fno-function-cse; -ftree-switch-conversion; -fno-dse], 91.62%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-loop-nest-optimize; -fno-tree-coalesce-vars; -fno-sched-spec; -fprefetch-loop-arrays; -fno-exceptions; -fomit-frame-pointer; -floop-nest-optimize; -fno-selective-scheduling; -fno-loop-nest-optimize; -fweb; -fno-rename-registers; -ftree-vrp; -fno-cx-fortran-rules; -fno-tree-loop-vectorize; -fno-sel-sched-pipelining; -fno-tree-tail-merge], 89.88%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fpeel-loops; -fno-tree-dse; -fno-combine-stack-adjustments; -fstrict-volatile-bitfields; -fdce; -fhandle-exceptions; -fno-lra-remat; -fno-align-labels; -fno-jump-tables; -falign-jumps; -fsched-last-insn-heuristic; -freciprocal-math; -falign-jumps; -fira-share-spill-slots; -fno-tree-bit-ccp; -freciprocal-math], 91.13%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fipa-cp; -fno-sched-rank-heuristic; -fssa-phiopt; -fno-omit-frame-pointer; -fno-sched-rank-heuristic; -fno-predictive-commoning; -ffloat-store; -fno-signaling-nans; -funsafe-math-optimizations; -fno-function-cse; -fsched-group-heuristic; -fif-conversion; -fno-var-tracking-uninit; -fisolate-erroneous-paths-attribute; -fno-tree-pre; -fipa-pta], 91.72%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fprefetch-loop-arrays; -fcrossjumping; -fno-tree-vrp; -fsched-spec-load; -fpack-struct; -fthread-jumps; -frename-registers; -fno-align-jumps; -fisolate-erroneous-paths-dereference; -fno-schedule-insns; -funsafe-math-optimizations; -fno-align-loops; -fno-sched-spec-load; -fno-dce; -ftree-loop-if-convert-stores; -fno-dce], 89.16%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-sched-critical-path-heuristic; -foptimize-strlen; -ftree-loop-vectorize; -fauto-inc-dec; -fno-cprop-registers; -fsel-sched-pipelining-outer-loops; -fno-auto-inc-dec; -ftree-ch; -fweb; -fpartial-inlining; -ftree-dse; -fno-var-tracking-uninit; -fsched-group-heuristic; -fno-graphite; -fno-non-call-exceptions; -fno-graphite], 93.30%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-strict-aliasing; -fno-branch-target-load-optimize; -fno-rtti; -fmodulo-sched-allow-regmoves; -fno-live-range-shrinkage; -fpeel-loops; -ftree-loop-vectorize; -fno-web; -fsignaling-nans; -ftree-fre; -fno-move-loop-invariants; -fno-ira-share-spill-slots; -fno-tree-loop-im; -ffloat-store; -fno-tree-fre; -ftree-sra], 93.72%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fvar-tracking; -fsched-pressure; -fno-if-conversion2; -findirect-inlining; -fno-guess-branch-probability; -fno-asynchronous-unwind-tables; -fdelete-dead-exceptions; -fno-tree-sra; -fno-variable-expansion-in-unroller; -ftree-loop-im; -fno-sched-interblock; -fno-gcse-lm; -freorder-blocks; -funsafe-math-optimizations; -fno-aggressive-loop-optimizations; -funroll-all-loops], 85.19%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-peephole; -fno-caller-saves; -fguess-branch-probability; -fno-web; -fno-branch-target-load-optimize; -fno-peephole; -fno-auto-inc-dec; -fcse-follow-jumps; -findirect-inlining; -fipa-sra; -fno-tree-switch-conversion; -freciprocal-math; -fomit-frame-pointer; -fjump-tables; -fsigned-zeros; -fschedule-fusion], 91.19%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-ftree-loop-if-convert-stores; -fno-optimize-strlen; -fno-cx-limited-range; -ftree-scev-cprop; -fno-sched-group-heuristic; -frtti; -flive-range-shrinkage; -fno-unsafe-loop-optimizations; -fno-tree-ccp; -fshrink-wrap; -fsel-sched-pipelining; -fipa-sem-equality; -ftree-ccp; -fira-share-spill-slots; -fno-tree-ccp; -fstrict-aliasing], 91.17%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fearly-inlining; -fschedule-fusion; -fno-gcse-after-reload; -frounding-math; -fno-ipa-cp-clone; -fno-signaling-nans; -frounding-math; -fno-ipa-reference; -fno-unswitch-loops; -fopt-info; -fsched-spec-insn-heuristic; -fsched-interblock; -fno-selective-scheduling; -fno-rtti; -ftree-slp-vectorize; -fno-non-call-exceptions], 91.19%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-prefetch-loop-arrays; -ftree-loop-if-convert-stores; -ftree-bit-ccp; -fno-tree-sra; -fpeephole; -fno-loop-interchange; -faggressive-loop-optimizations; -fno-guess-branch-probability; -fira-share-save-slots; -fno-tree-loop-im; -ftree-partial-pre; -fguess-branch-probability; -fno-associative-math; -fsched-interblock; -fno-nothrow-opt; -fno-lra-remat], 91.92%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-gcse-lm; -ftree-sink; -finline; -fno-ipa-pta; -fno-var-tracking; -ftree-loop-vectorize; -fcompare-elim; -freschedule-modulo-scheduled-loops; -fno-sched-interblock; -foptimize-strlen; -fno-unsafe-math-optimizations; -fisolate-erroneous-paths-dereference; -ftree-partial-pre; -ftree-pta; -fbranch-count-reg; -fcombine-stack-adjustments], 91.66%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fassociative-math; -fno-gcse-lm; -fbranch-probabilities; -fno-predictive-commoning; -fno-peephole2; -fno-tracer; -fno-function-cse; -fstrict-volatile-bitfields; -fno-rerun-cse-after-loop; -fno-tree-scev-cprop; -ftree-phiprop; -fcombine-stack-adjustments; -fisolate-erroneous-paths-attribute; -fno-threadsafe-statics; -fno-tree-phiprop; -fno-tree-pre], 91.13%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fno-crossjumping; -fsched-group-heuristic; -fdelayed-branch; -fno-single-precision-constant; -ffloat-store; -fno-guess-branch-probability; -ftree-slsr; -fno-tree-coalesce-vars; -fno-tree-partial-pre; -funroll-all-loops; -fno-delayed-branch; -fpeephole; -funwind-tables; -fno-inline-small-functions; -fivopts; -fno-signaling-nans], 91.51%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fmove-loop-invariants; -fno-asynchronous-unwind-tables; -fno-sched-group-heuristic; -fno-rounding-math; -ffunction-cse; -fasynchronous-unwind-tables; -fvar-tracking-assignments-toggle; -fcompare-elim; -ftree-dse; -fno-var-tracking-assignments; -fno-branch-count-reg; -ftree-tail-merge; -fno-loop-interchange; -fhandle-exceptions; -falign-labels; -ftree-ccp], 91.19%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-fstdarg-opt; -fno-loop-unroll-and-jam; -ftree-loop-distribute-patterns; -fexpensive-optimizations; -fno-predictive-commoning; -fno-tree-loop-im; -ftree-loop-optimize; -fno-modulo-sched-allow-regmoves; -fno-function-cse; -fno-nothrow-opt; -fconserve-stack; -fgcse; -fno-loop-strip-mine; -fno-inline-small-functions; -freorder-blocks; -fno-loop-interchange], 91.93%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
[-ftree-slsr; -fdce; -fshort-double; -fif-conversion; -fschedule-insns; -fno-sched-stalled-insns-dep; -fira-loop-pressure; -fno-tree-sink; -fearly-inlining; -fomit-frame-pointer; -fpartial-inlining; -fno-early-inlining; -fpack-struct; -fno-selective-scheduling2; -ftree-fre; -fno-tree-loop-optimize], 95.95%, 30, [DSP_autocor_c.c; DSP_blk_eswap16_c.c; DSP_blk_eswap32_c.c; DSP_blk_eswap64_c.c; DSP_blk_move_c.c; DSP_dotprod_c.c; DSP_dotp_sqr_c.c; DSP_firlms2_c.c; DSP_fir_cplx_c.c; DSP_fltoq15_c.c; DSP_mat_mul_c.c; DSP_mat_trans_c.c; DSP_maxidx_c.c; DSP_maxval_c.c; DSP_minerror_c.c; DSP_minval_c.c; DSP_mul32_c.c; DSP_neg32_c.c; DSP_q15tofl_c.c; DSP_vecsumsq_c.c; DSP_w_vec_c.c; IMG_quantize_c.c; IMG_sad_16x16_c.c; IMG_sad_8x8_c.c; IMG_sobel_c.c; IMG_wave_horz_c.c; IMG_wave_vert_c.c; IMG_ycbcr422p_rgb565_c.c; IMG_yc_demux_be16_c.c; IMG_yc_demux_le16_c.c]
